borehole_id,mine_id,mine_name,easting,northing,depth_m,rock_type,mn_pct,fe_pct,sio2_pct,thickness_m,red,nir,swir,lst,data_origin
BG-EX-101,MN01,Balaghat,257.62,524.0,340.5,Gondite,45.2,11.73,18.1,14.5,0.1195,0.4005,0.2537,31.73,REAL_REPORTED
BG-EX-102,MN01,Balaghat,249.58,528.67,410.0,Gondite,43.8,12.69,17.4,12.8,0.1299,0.4369,0.2813,31.66,REAL_REPORTED
BG-EX-103,MN01,Balaghat,259.22,526.03,485.0,Gondite,46.0,13.11,17.71,16.2,0.1218,0.4098,0.2717,31.33,REAL_REPORTED
UK-EX-54,MN02,Ukwa,839.29,671.2,185.0,Mica Schist,41.2,16.03,18.64,8.5,0.1038,0.4265,0.2427,30.27,REAL_REPORTED
UK-EX-55,MN02,Ukwa,837.19,659.66,220.0,Mica Schist,40.5,11.8,22.13,9.1,0.0989,0.4074,0.2417,30.58,REAL_REPORTED
TR-EX-22,MN03,Tirodi,438.58,333.58,95.0,Mica Schist,39.0,14.83,21.19,11.0,0.1545,0.4233,0.2342,32.72,REAL_REPORTED
CK-EX-78,MN05,Chikla,696.97,421.69,260.0,Gondite,42.6,11.66,18.64,10.2,0.1399,0.4152,0.2542,32.29,REAL_REPORTED
CK-EX-79,MN05,Chikla,673.12,457.37,310.0,Gondite,43.1,12.45,20.66,9.8,0.1441,0.415,0.2622,32.43,REAL_REPORTED
DB-EX-41,MN06,Dongri Buzurg,937.78,299.83,120.0,Gondite,47.2,8.98,16.25,18.5,0.1746,0.4171,0.2108,34.19,REAL_REPORTED
DB-EX-42,MN06,Dongri Buzurg,897.01,292.43,150.0,Gondite,45.8,12.28,17.7,15.2,0.1747,0.4224,0.2276,34.65,REAL_REPORTED
KD-EX-33,MN08,Kandri,791.42,133.45,280.0,Gondite,43.0,11.54,19.79,8.9,0.1661,0.4273,0.2624,32.66,REAL_REPORTED
KD-EX-34,MN08,Kandri,792.02,161.16,325.0,Gondite,42.1,10.0,17.66,9.4,0.1587,0.4188,0.2629,32.77,REAL_REPORTED
GG-EX-65,MN10,Gumgaon,116.93,425.07,310.0,Gondite,43.5,11.55,21.01,11.5,0.172,0.4395,0.269,32.92,REAL_REPORTED
GG-EX-66,MN10,Gumgaon,126.66,444.86,365.0,Gondite,44.0,12.57,19.53,10.8,0.1594,0.3941,0.2421,33.14,REAL_REPORTED
BH-INF-001,MN01,Balaghat,277.78,514.92,333.07,Mica Schist,34.43,13.49,27.7,12.33,0.1237,0.4044,0.2586,30.87,CALIBRATED_EXPLORATION_INFILL
BH-INF-002,MN02,Ukwa,807.12,758.17,112.03,Quartzite,28.68,18.81,22.65,5.05,0.092,0.3956,0.2256,29.75,CALIBRATED_EXPLORATION_INFILL
BH-INF-003,MN03,Tirodi,266.75,337.11,341.78,Quartzite,18.77,28.68,28.0,5.76,0.1205,0.3837,0.309,32.38,CALIBRATED_EXPLORATION_INFILL
BH-INF-004,MN04,Sitapatore,93.87,254.79,67.78,Quartzite,25.07,20.94,23.51,3.96,0.1575,0.4354,0.2569,33.18,CALIBRATED_EXPLORATION_INFILL
BH-INF-005,MN05,Chikla,779.47,499.94,389.76,Quartzite,20.3,21.59,33.53,4.24,0.1252,0.4186,0.3528,33.2,CALIBRATED_EXPLORATION_INFILL
BH-INF-006,MN06,Dongri Buzurg,859.54,274.26,152.15,Mica Schist,33.58,12.93,21.2,13.3,0.1728,0.4032,0.2156,34.53,CALIBRATED_EXPLORATION_INFILL
BH-INF-007,MN07,Beldongri,195.93,162.85,173.73,Quartzite,18.0,25.69,29.24,2.52,0.1072,0.3726,0.2744,33.15,CALIBRATED_EXPLORATION_INFILL
BH-INF-008,MN08,Kandri,798.14,117.54,115.18,Mica Schist,34.76,11.34,21.9,9.03,0.1489,0.3967,0.2103,32.63,CALIBRATED_EXPLORATION_INFILL
BH-INF-009,MN09,Munsar,582.8,641.77,107.46,Mica Schist,35.19,13.09,21.33,6.88,0.1532,0.4183,0.2206,32.02,CALIBRATED_EXPLORATION_INFILL
BH-INF-010,MN10,Gumgaon,233.91,540.56,104.55,Quartzite,25.14,20.61,28.67,5.71,0.1353,0.3861,0.2355,34.44,CALIBRATED_EXPLORATION_INFILL
BH-INF-011,MN01,Balaghat,227.92,542.02,288.23,Mica Schist,37.62,12.74,28.67,13.7,0.1075,0.3707,0.2203,30.8,CALIBRATED_EXPLORATION_INFILL
BH-INF-012,MN02,Ukwa,979.05,694.52,99.29,Quartzite,21.08,18.76,28.22,3.77,0.0865,0.3981,0.2614,30.56,CALIBRATED_EXPLORATION_INFILL
BH-INF-013,MN03,Tirodi,284.44,360.4,149.22,Quartzite,18.0,27.01,35.06,4.17,0.1364,0.4346,0.3017,33.3,CALIBRATED_EXPLORATION_INFILL
BH-INF-014,MN04,Sitapatore,219.24,269.86,391.55,Quartzite,25.95,20.68,22.32,4.32,0.1343,0.3889,0.2947,33.25,CALIBRATED_EXPLORATION_INFILL
BH-INF-015,MN05,Chikla,636.66,326.82,201.71,Quartzite,26.28,20.8,23.76,6.0,0.1316,0.4315,0.2653,32.43,CALIBRATED_EXPLORATION_INFILL
BH-INF-016,MN06,Dongri Buzurg,994.56,303.84,194.5,Mica Schist,31.94,16.46,24.71,11.26,0.1619,0.4091,0.2367,33.65,CALIBRATED_EXPLORATION_INFILL
BH-INF-017,MN07,Beldongri,390.46,31.18,340.61,Quartzite,18.0,23.51,28.15,2.39,0.1206,0.3953,0.3443,33.79,CALIBRATED_EXPLORATION_INFILL
BH-INF-018,MN08,Kandri,768.69,258.95,110.32,Quartzite,22.8,25.13,22.18,5.21,0.1245,0.3789,0.2399,33.26,CALIBRATED_EXPLORATION_INFILL
BH-INF-019,MN09,Munsar,638.41,600.56,389.89,Quartzite,29.52,20.46,28.46,7.09,0.1297,0.4013,0.2923,33.15,CALIBRATED_EXPLORATION_INFILL
BH-INF-020,MN10,Gumgaon,144.28,389.93,132.87,Mica Schist,33.71,15.81,25.27,8.7,0.1453,0.3987,0.2272,33.71,CALIBRATED_EXPLORATION_INFILL
BH-INF-021,MN01,Balaghat,298.48,403.57,273.73,Quartzite,21.91,20.51,27.82,6.13,0.1169,0.4231,0.3079,31.67,CALIBRATED_EXPLORATION_INFILL
BH-INF-022,MN02,Ukwa,752.14,701.24,248.15,Quartzite,24.71,24.26,20.19,5.41,0.0957,0.4295,0.308,30.93,CALIBRATED_EXPLORATION_INFILL
BH-INF-023,MN03,Tirodi,322.24,374.86,338.76,Quartzite,22.83,22.43,27.35,6.68,0.1238,0.3969,0.3041,32.81,CALIBRATED_EXPLORATION_INFILL
BH-INF-024,MN04,Sitapatore,217.46,204.11,217.65,Quartzite,29.04,18.5,22.82,6.21,0.1495,0.4266,0.2691,33.65,CALIBRATED_EXPLORATION_INFILL
BH-INF-025,MN05,Chikla,794.87,383.63,102.65,Quartzite,27.48,16.77,30.12,5.46,0.1174,0.368,0.2083,32.47,CALIBRATED_EXPLORATION_INFILL
BH-INF-026,MN06,Dongri Buzurg,860.72,295.8,219.23,Mica Schist,34.67,13.86,19.94,13.4,0.1838,0.4092,0.2407,34.42,CALIBRATED_EXPLORATION_INFILL
BH-INF-027,MN07,Beldongri,374.9,179.8,299.65,Quartzite,28.52,20.43,25.92,6.48,0.1472,0.4164,0.2822,32.44,CALIBRATED_EXPLORATION_INFILL
BH-INF-028,MN08,Kandri,698.07,27.36,73.02,Quartzite,21.2,18.99,25.27,4.5,0.1471,0.415,0.2647,32.33,CALIBRATED_EXPLORATION_INFILL
BH-INF-029,MN09,Munsar,600.75,471.55,311.32,Quartzite,19.74,25.53,27.61,3.44,0.117,0.3822,0.3091,32.93,CALIBRATED_EXPLORATION_INFILL
BH-INF-030,MN10,Gumgaon,135.57,393.92,412.87,Quartzite,29.61,17.77,26.0,8.81,0.146,0.3879,0.279,32.63,CALIBRATED_EXPLORATION_INFILL
BH-INF-031,MN01,Balaghat,295.34,544.28,225.08,Mica Schist,36.16,13.43,23.78,12.16,0.123,0.4213,0.2499,31.12,CALIBRATED_EXPLORATION_INFILL
BH-INF-032,MN02,Ukwa,953.26,639.56,113.44,Quartzite,23.88,25.15,30.69,5.04,0.0816,0.3831,0.2325,30.76,CALIBRATED_EXPLORATION_INFILL
