mine_id,mine_name,date,year,month,day,daily_production,equipment_downtime_hrs,rainfall_mm,blasting_delay_days,workers_present,target_tonnes
MN01,Balaghat,2015-01-01,2015,1,1,72.31,4.92,0.0,0,200,2876.0
MN02,Ukwa,2015-01-01,2015,1,1,16.06,4.76,0.0,0,84,531.0
MN03,Tirodi,2015-01-01,2015,1,1,21.89,4.55,0.0,0,99,663.7
MN04,Sitapatore,2015-01-01,2015,1,1,7.77,5.09,0.0,0,67,221.2
MN05,Chikla,2015-01-01,2015,1,1,43.24,4.8,0.0,0,163,1327.4
MN06,Dongri Buzurg,2015-01-01,2015,1,1,59.36,3.21,0.0,0,200,1769.8
MN07,Beldongri,2015-01-01,2015,1,1,8.94,5.38,1.1,0,69,265.5
MN08,Kandri,2015-01-01,2015,1,1,35.83,5.35,0.6,0,141,1106.2
MN09,Munsar,2015-01-01,2015,1,1,27.56,4.7,0.0,0,115,796.4
MN10,Gumgaon,2015-01-01,2015,1,1,30.55,4.39,1.1,0,122,884.9
MN01,Balaghat,2015-01-02,2015,1,2,74.21,4.27,0.1,0,200,2876.0
MN02,Ukwa,2015-01-02,2015,1,2,17.08,5.7,0.0,0,92,531.0
MN03,Tirodi,2015-01-02,2015,1,2,22.71,4.66,2.5,0,103,663.7
MN04,Sitapatore,2015-01-02,2015,1,2,6.38,4.85,2.5,0,53,221.2
MN05,Chikla,2015-01-02,2015,1,2,45.97,4.97,0.8,1,164,1327.4
MN06,Dongri Buzurg,2015-01-02,2015,1,2,62.53,2.03,0.8,0,200,1769.8
MN07,Beldongri,2015-01-02,2015,1,2,8.01,4.34,6.5,0,60,265.5
MN08,Kandri,2015-01-02,2015,1,2,31.52,6.2,6.1,0,132,1106.2
MN09,Munsar,2015-01-02,2015,1,2,27.23,3.03,0.6,1,111,796.4
MN10,Gumgaon,2015-01-02,2015,1,2,30.74,3.99,6.5,0,129,884.9
MN01,Balaghat,2015-01-03,2015,1,3,68.87,4.6,4.9,0,200,2876.0
MN02,Ukwa,2015-01-03,2015,1,3,19.15,4.26,5.4,0,93,531.0
MN03,Tirodi,2015-01-03,2015,1,3,21.67,4.47,7.7,0,103,663.7
MN04,Sitapatore,2015-01-03,2015,1,3,7.71,4.23,7.7,0,66,221.2
MN05,Chikla,2015-01-03,2015,1,3,43.66,4.75,5.5,0,165,1327.4
MN06,Dongri Buzurg,2015-01-03,2015,1,3,55.8,4.04,5.5,0,200,1769.8
MN07,Beldongri,2015-01-03,2015,1,3,8.32,5.2,9.1,0,64,265.5
MN08,Kandri,2015-01-03,2015,1,3,36.29,4.48,9.5,0,144,1106.2
MN09,Munsar,2015-01-03,2015,1,3,24.54,5.5,7.6,0,114,796.4
MN10,Gumgaon,2015-01-03,2015,1,3,28.65,5.05,9.1,0,126,884.9
MN01,Balaghat,2015-01-04,2015,1,4,70.96,5.37,0.0,0,200,2876.0
MN02,Ukwa,2015-01-04,2015,1,4,17.44,4.87,0.1,0,91,531.0
